SURNAME,TRIBE/ETHNIC GROUP,RA Confidence Level
'IMARIA,teso,3
IBILLILLI,arab,2
.GITU,taita,1
A KEMEI,kalenjin,3
A KIMARK,exotic,3
A'KERICH,kalenjin,3
AAMODOI,masai,1
AARAUNGU,kisii,3
ABACH,luo,3
ABADA,luo,3
ABADATA,luhya,3
ABADELA,luhya,3
ABADHA,luo,3
ABADIBA,nubi,3
ABAGA,luo,3
ABAGUDOO,luhya,3
ABAKALWA,luhya,3
ABALAGA,luhya,3
ABALLA,luo,3
ABALONI,luhya,2
ABANDA,luo,3
ABANJA,luo,3
ABARUFA,luhya,1
ABASHEKO,luhya,2
ABASHEKU,luhya,3
ABASS,muslim,3
ABASSS,rendile,2
ABATSA,luhya,2
ABAYA,luo,3
ABAYO,luo,3
ABBAS,muslim,3
ABBEY,samburu,2
ABBIRAHMAN,muslim,3
ABDALAH,muslim,3
Akinyi,luo,3
ABDALLA.,muslim,3
ABDARAMAN,arab,3
ABDHI,turkana,1
ABDILLAHI,arab,2
ABDILLEE,somali,2
ABDINASIR,arab,2
ABDINOOR,nubi,3
ABDINUR,muslim,3
ABDIRAHM N,somali,2
ABDIRASHID,muslim,3
ABDISALAN,nubi,2
ABDISHEIKH,somali,3
ABDIWAHID,somali,3
ABDO,muslim,3
ABDUBA,borana,2
ABDUL,arab,1
ABDUL         Z,muslim,3
ABDULAI,muslim,3
ABDULATIF,muslim,3
ABDULE   '     V,somali,2
ABDULGAFOOR,arab,3
ABDULGHAFOOR,swahili,1
ABDULHAKIM,arab,3
ABDULKADIR,somali,1
ABDULKARIM,somali,3
ABDULLA,muslim,3
ABDULLAA,muslim,3
ABDULLAH,muslim,3
ABDULLAHI,muslim,3
ABDULLAI,somali,3
ABDULLE,somali,1
ABDULLO,muslim,3
ABDULRAHAMAN,muslim,3
ABDULREHMAN,somali,2
ABDURAHMAN,muslim,3
ABDURAMAN,arab,3
ABEDNEGO,christian,3
ABEID,arab,1
ABENGE,luhya,1
ABENYO,luo,2
ABER,luo,3
ABGUDO,luo,3
ABIAYO,luo,1
ABIBA,luo,1
ABIBI,luo,3
ABIBO,luhya,3
