surname,eg
OMBURI,kisii
GICHURU,kikuyu
SAYO,luhya
MUNGA,kikuyu
MUTHONI,kikuyu
MWAURA,kikuyu
NAFULA,luo
AGWA,luo
KAMAU,kikuyu
ORENGE,kisii
MBWIKA,kamba
THURANIRA,meru
MAINA,kikuyu
NJERI,kikuyu
WANJIRU,kikuyu
MIHAMED,pemba
MOHAMMED,pemba
BETH,luhya
RUMBI,kisii
GACHIRA,kikuyu
OMACH,luo
WANGARE,kikuyu
ONYANGO,luo
MOFAT,kisii
ATIENO,luo
WANJIRU,kikuyu
WANJIKU,kikuyu
KAMAU,kikuyu
NDUNGU,kamba
AWUOR,luo
AWUOR,luo
WANJIRU,kikuyu
KARIUKI,kikuyu
WAMBUI,kikuyu
WOTHAYA,kikuyu
SEREM,kalenjin
MUTHONI,kikuyu
MUTHONI,kikuyu
OMOLLO,luhya
MURANI,kikuyu
KITSAO,mijikenda
JIBO,pokomo
TUNJE,mijikenda
NGONDU,kikuyu
OMAR,wanga
KENDA,luhya
MUNGA,taita
IRURA,kikuyu
MUTHONI,meru
WAWERU,kikuyu
NJERI,kikuyu
KAGENI,meru
UPEPO,kikuyu
MOHAMMED,luhya
KARAMI,luhya
KAMAU,kikuyu
KADZO,mijikenda
MUASIA,kamba
HAMISI,mijikenda
KAGWERIA,meru
KAMAMA,kikuyu
EMMANUEL,meru
KYALA,kamba
WAKA,luhya
NAJIBA,arab
MOHAMMED,kikuyu
WANJURU,kikuyu
OPANGA,luhya
MUNGA,kikuyu
OMONDI,kisii
KARIS,mijikenda
MBINDYO,kamba
MURURI,kikuyu
WAKA,luhya
MESHACK,luhya
OCHIENG,kikuyu
OPIYO,luo
MATINGE,kamba
WAMBUI,kikuyu
JEFWA,mijikenda
KOWEJE,luo
WAITHAKA,kikuyu
NDUNG'U,kikuyu
MBUVI,kamba
KANENE,kamba
NGANGA,kikuyu
ZIGHE,taita
OLUM,luo
KARANJA,kikuyu
OGATO,kisii
LWAMBI,luhya
MWANGI,luhya
OGOLA,luo
OCHIENG,luo
WANJIKU,kikuyu
MASITA,kisii
WANJA,kikuyu
IMINZA,luhya
SALAMO,luhya
SAKWA,luhya
SITIENEI,kalenjin
MUTUKU,kamba
SEMO,luo
MWANGI,kikuyu
WAITHIRA,kikuyu
NGENDO,kikuyu
AYONGA,teso
MWENI,kamba
WANJIRU,kikuyu
MBURU,kikuyu
ATITI,luo
MWILU,kamba
RASHID,luhya
MAHERO,luo
CHEPKORIR,kalenjin
KIPROP,kalenjin
NJUGUNA,kikuyu
KODGEI,kalenjin
THAIRU,kikuyu
KIRUI,kalenjin
RONO,kalenjin
CHERUIYOT,kalenjin
BOSIBORI,kisii
WAMAGORO,kikuyu
MUTUA,kamba
CHEPKEMOI,kalenjin
LANGAT,kalenjin
RUHIU,kikuyu
NJERU,embu
KITUI,kalenjin
BAHATI,luhya
WANGA,luhya
MUHONJA,luhya
CHEPKWONY,kalenjin
KIRWA,kalenjin
LELGO,kalenjin
WERE,luo
ANDAE,luhya
KABUTI,kikuyu
WAHU,kikuyu
ATIENO,luo
WANJALA,luhya
MURITHI,meru
ACHIENG,luo
JACKSON,mijikenda
CHEPKORIR,kalenjin
APIYO,luo
MATHENGE,kikuyu
