SURNAME,TRIBE/ETHNIC GROUP,RA Confidence Level
KOSKE,kalenjin,3
MARIGI,luo,2
MARUBE,luo,2
MWANDA,luhya,2
MUSAU,kamba,3
MUIRURI,kikuyu,3
MAKURU,meru,2
OMBOGO,luhya,3
MBURU,kikuyu,3
KIPSANG,kalenjin,3
ISAIAH,,
GITIHA,kikuyu,3
NDEGWA,kikuyu,3
TUWEI,kalenjin,3
JOHN,,
IRIA,embu,1
OWIKO,luo,
M'ELAKU,turkana,2
IMBUNYA,luhya,3
HARUNI,mijikenda,1
OMWENGA,luhya,3
KIKEY,kalenjin,3
NGURU,kikuyu,3
LOGELAN,masai,2
CHAMKONO,swahili,3
MARITIM,,
KIRUI,kikuyu,3
MURAGE,kikuyu,3
M'MIUNCI,meru,2
MWANGURE,kikuyu,2
KIOGE,meru,1
LOREMOI,kalenjin,2
CHUNGWA,swahili,2
MARWOKA,kisii,1
THIRIKU,meru,2
AUMA,luo,3
MWAHENZI,taita,2
LENKOLOS,masai,3
NADEBU,borana,1
MUHUMED,swahili,2
GOMBA,taveta,1
SHIVACHI,luhya,3
BUYOGA,luhya,2
GATHARI,kikuyu,2
MOKAYA,kisii,3
OLIEWO,kisii,1
KUMBITI,kamba,2
ROTICH,kalenjin,3
ARAKA,luhya,3
KHAKALI,luhya,2
OPENDO,luo,1
O-EKO',,
CHELUGET,kalenjin,3
MUTENDE,luhya,1
SIMON,,
NZOKA,kamba,3
GUYO,rendile,2
NKURUNA,meru,1
OCHIENG,luo,3
NGESA,kiSii,3
OKELLO,luhya,3
ISAACK,,
NGENO,kalenjin,2
KIBAGENDI,borana,1
MULONGO,luhya,3
MUNYOKI,kamba,3
CHERONO,kalenjin,3
SIGEI,kalenjin,3
NJUGUINI,kikuyu,2
MUMBUTHU,meru,2
MURINGI,meru,3
NGARI,embu,3
OKUMU',luo,3
MOSIORI,kiSii,1
MWAMBAULO,taita,2
KIHIU,kikuyu,2
AMALEMBA,luhya,3
WAMBURO,embu,2
KETER,kalenjin,3
NYAMAI,kikuyu,2
DOMONYANG,burji,1
OUKO,luo,3
ACHOREE,,
KIOKO,kamba,3
NGUNGU,meru,2
MUKUNDI,embu,3
LEKAATI,masai,3
ARAMA,swahili,1
MULUPI,taita,1
KIPKECH,kalenjin,3
CHIRCHIR,kalenjin,3
BOKEA,teso,1
NKARAKU,meru,2
KAMAU,kikuyu,3
WASWA,luhya,3
CHANDI,taita,1
MBOROKI,kamba,2
MAUKA,kamba,1
LEKATAP,masai,3
MUTSAMI,masai,1
KIAMBUA,kamba,3
ODIWO,luo,3
WACHIRA,kikuyu,3
MAJANJA,taita,1
NGALA,mijikenda,2
NGURE,kikuyu,3
GICHIAH,kikuyu,1
OBARE,kisii,3
OKENGO,kisii,3
AGUKO,luo,2
MUSABI,lu,2
KIPRUTO,kalenjin,3
STANLEY,,
KUPSAKEY,kalenjin,3
WAITA,taita,2
YATTA,mijikenda,2
MAKARA,meru,2
OTUMA,luo,2
CHELANG'A,kalenjin,3
OPIYO,luo,3
MUIRU,kikuyu,3
MWIHAKI,kamba,3
KAWIRA,meru,2
KASWII,luhya,1
NYAKUNDI,meru,1
OLENKITI,masai,3
ODHIAMBO,luo,3
BWIRE,teso,1
JESANG,kalenjin,3
NGUYO,mijikenda,1
WAINAINA,kikuyu,3
ISEREN,kalenjin,3
NGUKU,kikuyu,2
MAKOKHA,luhya,3
OGOLA,luo,3
OMOLO,luo,3
MUSYILI,kamba,3
KIMANI,kikuyu,3
OKAKA,kisii,1
KORGOREN,kalenjin,1
MBAI,kikuyu,3
WANYEKI,kikuyu,1
ANYANGO,luo,3
KARIMI,embu,3
RAO,,
OKOTH,luo,3
M'MURIITHI,meru,3
KIHIA,kikuyu,3
MOGAKA,kisii,3
OSIEMO,kuria,1
KOI,mijikenda,1
LEKUPE,masai,1
KUMI,swahili,1
OJOW,samburu,1
NYAWIRA,kikuyu,3
MWOLOLO,kamba,1
WESONGA,luhya,3
MUSYOKI,kamba,3
KAPTICH,kalenjin,1
WANGARI,kikuyu,3
WAKHISI,luhya,2
NAMU,embu,3
KAETHIA,kamba,3
SOMPOLEL,masai,2
ODUOR,luo,3
JACKLINE,,
SEKO,,
KORIMUK,kalenjin,1
EMODIA,luhya,1
KAVAI,embu,1
MAGERO,luhya,3
LOMUNA,masai,2
WASICHE,luhya,1
GAITA,turkana,2
ATHIENO,luo,1
LELERUK,samburu,2
MURUNGA,kamba,3
MANYARA,meru,3
MUNYWOKI,kamba,3
MUNYAO,kamba,3
TORONKE,masai,1
OKANGA,kisii,2
SITUMA,Luhya,3
MUBIA,meru,1
GICHERU,kikuyu,3
OWUOR,luo,3
GITUNIO,mbeere,1
KISAKA,,
KARANJA,kikuyu,3
BANZI,taita,1
MAIYO,kikuyu,2
KITHEKA,kamba,3
NZAU,kamba,3
MUKA,,
OYUGI,kisii,3
KINGIRI,kikuyu,1
KOECH,kalenjin,3
KINGORI,kikuyu,3
MEEME,meru,1
NDUKU,kamba,3
MUGA,meru,2
GITARI,meru,2
NDUNG'U,kikuyu,3
MBONDE,taita,1
MITSANZE,mijikenda,2
LUSWETI,,
DIMA,mijikenda,2
BAARIU,mijikenda,1
KONA,taita,1
MBINDYO,turkana,1
OBONYO,luo,2
WAITHIRA,kikuyu,3
ANYUMBA,luhya,2
WANJIKU,kikuyu,3
CHANGO,taveta,1
NZIOKA,kamba,3
NYAMWEGA,kisii,2
KANOT,teso,1
MUTUMBA,kamba,2
WAFULA,luhya,3
ODENY,nubi,2
NYERE,kikuyu,1
MAUA,swahili,1
NJUKI,embu,3
KENGA,taita,1
ANGELICA,,
WAWERU,kikuyu,3
OKUMU ),luo,2
MBITHI,kikuyu,2
WECHENJE,Luhya,1
MUSIVA,kamba,3
KAMANU,kamba,1
MWABILI,borana,1
MAKAYA,taita,1
MUHAJI,mijikenda,1
JOLAM,,
OUMA,luo,3
M'ITHAI,tharaka,1
ADONGO,luo,3
GITHUI,kikuyu,3
IKARA,meru,1
NGALU,tharaka,1
MURIITHI,embu,2
MUYA,meru,1
MURIGI,meru,3
EDITH,,
GICHUHI,kikuyu,3
GACHAGWA,embu,2
WERE,Luhya,3
NYAMONI,kisii,1
PILISI,mijikenda,2
MUINDE,kikuyu,1
KAVINDI,kamba,3
MIRITI,meru,3
KAGOMBE,meru,1
KILONZO,kamba,3
MUNGATA,meru,2
OMBALO,luo,2
GAMBO,mijikenda,1
KAMANDE,kikuyu,3
NYAIRO,kikuyu,1
THOMAS,,
ABDULRAHIM,swahili,2
KANYUNJU,Meru,2
KAGUKU,kikuyu,2
KAIRU,kikuyu,3
BIOSI,luhya,1
MUTUNGWA,meru,2
MATHEKA,meru,1
ALOYO,luo,2
KIGOCHI,meru,2
NASONGO,KISii,1
RABUOR,luo,2
OGUTU,luo,3
MWANDONGA,taita,1
MKALI,swahili,1
MAIKO,kamba,2
NGUMBAA,mijikenda,1
NDIRITU,kikuyu,3
WANJALA,luhya,3
RWANDA,Luhya,2
ACHIENG,luo,3
OORO,luo,1
M'ABUAMBI,nubi,1
KONNOMA,KISii,1
MUSYOKA,kamba,3
WAMBUA,kamba,3
DAHA,taita,1
MUGO,embu,3
SAMWEL,,
N'DUGA,meru,1
MUTISYA,kamba,3
OMURUNGA,Luhya,2
MUTERE,meru,3
OMBIKHWA,Luhya,1
WANDERA,kikuyu,2
NTABO,nubi,1
ASATSA,Luhya,1
GATHECHA,meru,2
GACHUHI,kikuyu,3
PETER,,
NDIYO,mijikenda,1
MURIUKI,embu,3
OMINGO,luo,1
SIFUNA,luhya,3
SHIOSO,luhya,2
MWAURA,kikuyu,3
