Surname,Predicted,True,Correct
SOKHIRE,basuba,basuba,1
KIDIWO,kalenjin,basuba,0
NYAGA,kisii,embu,0
MUKAMI,embu,embu,1
KINA,kikuyu,embu,0
WANJA,kikuyu,embu,0
NJERU,kikuyu,embu,0
TWIGA,meru,embu,0
MUGO,kikuyu,embu,0
MURITHI,meru,embu,0
MWENDA,meru,embu,0
KARIMI,embu,embu,1
WANJERA,embu,embu,1
MUTHONI,kikuyu,embu,0
MURUGI,kikuyu,embu,0
MUTHONI,kikuyu,embu,0
NGUGI,kikuyu,embu,0
KIPROP,kalenjin,kalenjin,1
BOIT,kalenjin,kalenjin,1
CHEPKWON,kalenjin,kalenjin,1
CHEPTER,kalenjin,kalenjin,1
KEPKEMOI,kalenjin,kalenjin,1
ROTICH,kalenjin,kalenjin,1
SIGEI,kalenjin,kalenjin,1
CHEPTARUS,kalenjin,kalenjin,1
VERA,kalenjin,kalenjin,1
CHERUYOT,kalenjin,kalenjin,1
KISANG,kalenjin,kalenjin,1
KIRWA,kalenjin,kalenjin,1
CHEPKEMOI,kalenjin,kalenjin,1
TANUI,kalenjin,kalenjin,1
KIPTOO,kalenjin,kalenjin,1
LODHIO,luo,kalenjin,0
KIRUI,kalenjin,kalenjin,1
RONO,kalenjin,kalenjin,1
LELGO,kalenjin,kalenjin,1
RENDA,kalenjin,kalenjin,1
APOPONG,kalenjin,kalenjin,1
SEREM,kalenjin,kalenjin,1
TANUI,kalenjin,kalenjin,1
BIWOT,kalenjin,kalenjin,1
CHESENGENY,kalenjin,kalenjin,1
JEPCHUMBA,kalenjin,kalenjin,1
KORIR,kalenjin,kalenjin,1
KIPTOO,kalenjin,kalenjin,1
LAGAT,kalenjin,kalenjin,1
TANUI,kalenjin,kalenjin,1
ROTICH,kalenjin,kalenjin,1
CHEPKORIR,kalenjin,kalenjin,1
TANUI,kalenjin,kalenjin,1
KIRWA,kalenjin,kalenjin,1
CHERONO,kalenjin,kalenjin,1
KEMUNTO,kisii,kalenjin,0
KOSGEI,kalenjin,kalenjin,1
CHEPNGENO,kalenjin,kalenjin,1
TOMASIAN,kalenjin,kalenjin,1
LANGAT,kalenjin,kalenjin,1
BUNGEI,kalenjin,kalenjin,1
MUTAI,kalenjin,kalenjin,1
CHEBII,kalenjin,kalenjin,1
SITIENEI,kalenjin,kalenjin,1
KIPTOO,kalenjin,kalenjin,1
CHERUIYOT,kalenjin,kalenjin,1
NAFULA,luhya,kalenjin,0
