Surname,Predicted,Confidence
OMWANDE,luhya,0.343
ATNAS,luhya,0.3019
ABDALLAH,muslim,0.4169
SALIM,turkana,0.3544
OGATO,luo,0.5528
ANYANGO,luo,0.7936
TAKA,luhya,0.6832
ATIENO,luo,0.8951
AGUVASU,luhya,0.695
KIPROP,kalenjin,0.9924
ODERO,luo,0.8825
BOIT,kalenjin,0.7364
CHEPKWON,kalenjin,0.9915
MIDEVA,luhya,0.8799
NAFULA,luhya,0.7945
NAFULA,luhya,0.7945
NAMASAKA,luhya,0.9451
ALI,luhya,0.2868
GABUKU,kikuyu,0.3981
LOKOEN,turkana,0.6408
MWANGI,kikuyu,0.9417
AOKO,luo,0.8964
ZAINABU,luhya,0.5608
AKINYI,luo,0.7028
WANJIRU,kikuyu,0.9962
WANZAA,kamba,0.6965
CHEMILA,luhya,0.5673
YENGO,masai,0.3794
CHEPTER,kalenjin,0.9986
OUMA,luo,0.6675
KOWEJE,luo,0.5835
OMAR,mijikenda,0.3673
MAOBE,luhya,0.4127
ATIENO,luo,0.8951
OMENDA,luhya,0.4409
OGOLLA,luo,0.9643
KEPKEMOI,kalenjin,0.859
OCHIENG,luo,0.8928
ACHIENG,luo,0.9965
APONDI,luhya,0.5665
BOSIBORI,kisii,0.8373
KWAMBOKA,kisii,0.8248
NGONDU,kikuyu,0.6379
WAMBOI,kikuyu,0.9448
SIKARA,luhya,0.5921
ROTICH,kalenjin,0.9811
NJOROGE,kikuyu,0.9732
OBIERO,luo,0.8751
OGUTU,luo,0.894
SIGEI,kalenjin,0.7194
OPOTI,luhya,0.6463
CHEPTARUS,kalenjin,0.9894
VERA,kalenjin,0.4448
AUMA,luo,0.6777
MAWEU,kamba,0.5373
CHERUYOT,kalenjin,1
KISANG,kalenjin,0.5086
KIRWA,kalenjin,0.8565
CHEPKEMOI,kalenjin,0.9943
ANEKEA,luhya,0.7028
OCHIENG,luo,0.8928
TANUI,kalenjin,0.8742
KIPTOO,kalenjin,0.991
MUGITA,luhya,0.6007
OCHIENG,luo,0.8928
LODHIO,turkana,0.3799
AMBINDI,luhya,0.895
NYARIERA,luo,0.54
ATIENO,luo,0.8951
AWUOR,luo,0.9754
KIRUI,kalenjin,0.9344
NASIMIYU,luhya,0.903
NASIMIYU,luhya,0.903
NYASITA,turkana,0.5532
SHIKUKU,luhya,0.946
